Binary representation,Error,Features selected,Lookup value,Penalty factor
1000000000,0.2704171048019628,"(0,)",0.2804171048019628,0.01
0100000000,0.2732211706975114,"(1,)",0.2832211706975114,0.01
0010000000,0.34525061338941465,"(2,)",0.35525061338941466,0.01
0001000000,0.33648790746582546,"(3,)",0.3464879074658255,0.01
0000100000,0.332807570977918,"(4,)",0.34280757097791803,0.01
0000010000,0.31107606028741674,"(5,)",0.32107606028741675,0.01
0000001000,0.27970557308096744,"(6,)",0.28970557308096745,0.01
0000000100,0.28987031195233093,"(7,)",0.29987031195233094,0.01
0000000010,0.2690150718541886,"(8,)",0.2790150718541886,0.01
0000000001,0.34419908867858395,"(9,)",0.35419908867858396,0.01
1100000000,0.27865404837013674,"(0, 1)",0.29865404837013676,0.01
1010000000,0.2599018576936558,"(0, 2)",0.27990185769365583,0.01
1001000000,0.2672625306694707,"(0, 3)",0.2872625306694707,0.01
1000100000,0.2665615141955836,"(0, 4)",0.2865615141955836,0.01
1000010000,0.27584998247458814,"(0, 5)",0.29584998247458816,0.01
1000001000,0.263757448300035,"(0, 6)",0.283757448300035,0.01
1000000100,0.26428321065545035,"(0, 7)",0.28428321065545037,0.01
1000000010,0.20189274447949523,"(0, 8)",0.22189274447949522,0.01
1000000001,0.26883981773571675,"(0, 9)",0.28883981773571676,0.01
0110000000,0.24377847879425163,"(1, 2)",0.26377847879425165,0.01
0101000000,0.2570977917981072,"(1, 3)",0.27709779179810723,0.01
0100100000,0.25937609533824046,"(1, 4)",0.2793760953382405,0.01
0100010000,0.26848930949877325,"(1, 5)",0.28848930949877327,0.01
0100001000,0.2732211706975114,"(1, 6)",0.2932211706975114,0.01
0100000100,0.26919032597266035,"(1, 7)",0.28919032597266037,0.01
0100000010,0.23869610935856989,"(1, 8)",0.2586961093585699,0.01
0100000001,0.27304591657903965,"(1, 9)",0.29304591657903967,0.01
0011000000,0.3014370837714686,"(2, 3)",0.3214370837714686,0.01
0010100000,0.3091482649842271,"(2, 4)",0.3291482649842271,0.01
0010010000,0.30546792849631965,"(2, 5)",0.32546792849631967,0.01
0010001000,0.2798808271994392,"(2, 6)",0.2998808271994392,0.01
0010000100,0.2912723449001051,"(2, 7)",0.31127234490010514,0.01
0010000010,0.21223273746933058,"(2, 8)",0.23223273746933057,0.01
0010000001,0.34700315457413244,"(2, 9)",0.36700315457413246,0.01
0001100000,0.330354013319313,"(3, 4)",0.35035401331931304,0.01
0001010000,0.30126182965299686,"(3, 5)",0.3212618296529969,0.01
0001001000,0.28005608131791093,"(3, 6)",0.30005608131791095,0.01
0001000100,0.2886435331230284,"(3, 7)",0.3086435331230284,0.01
0001000010,0.24062390466175954,"(3, 8)",0.26062390466175955,0.01
0001000001,0.3321065545040308,"(3, 9)",0.35210655450403083,0.01
0000110000,0.30231335436382756,"(4, 5)",0.3223133543638276,0.01
0000101000,0.27970557308096744,"(4, 6)",0.29970557308096746,0.01
0000100100,0.2870662460567823,"(4, 7)",0.30706624605678234,0.01
0000100010,0.24360322467577988,"(4, 8)",0.2636032246757799,0.01
0000100001,0.33193130038555907,"(4, 9)",0.3519313003855591,0.01
0000011000,0.27900455660708023,"(5, 6)",0.29900455660708025,0.01
0000010100,0.2819838766211006,"(5, 7)",0.3019838766211006,0.01
0000010010,0.23326323168594465,"(5, 8)",0.25326323168594467,0.01
0000010001,0.30021030494216616,"(5, 9)",0.3202103049421662,0.01
0000001100,0.27059235892043465,"(6, 7)",0.29059235892043467,0.01
0000001010,0.2267788293024886,"(6, 8)",0.2467788293024886,0.01
0000001001,0.27900455660708023,"(6, 9)",0.29900455660708025,0.01
0000000110,0.24693305292674372,"(7, 8)",0.26693305292674374,0.01
0000000101,0.28969505783385907,"(7, 9)",0.3096950578338591,0.01
0000000011,0.23887136347704174,"(8, 9)",0.25887136347704176,0.01
1110000000,0.251664914125482,"(0, 1, 2)",0.281664914125482,0.01
1101000000,0.2739221871713985,"(0, 1, 3)",0.3039221871713985,0.01
1100100000,0.27479845776375744,"(0, 1, 4)",0.30479845776375747,0.01
1100010000,0.2791798107255521,"(0, 1, 5)",0.3091798107255521,0.01
1100001000,0.27620049071153174,"(0, 1, 6)",0.30620049071153177,0.01
1100000100,0.27865404837013674,"(0, 1, 7)",0.30865404837013677,0.01
1100000010,0.20189274447949523,"(0, 1, 8)",0.23189274447949523,0.01
1100000001,0.27865404837013674,"(0, 1, 9)",0.30865404837013677,0.01
1011000000,0.24553101997896953,"(0, 2, 3)",0.27553101997896956,0.01
1010100000,0.25096389765159477,"(0, 2, 4)",0.2809638976515948,0.01
1010010000,0.25972660357518407,"(0, 2, 5)",0.2897266035751841,0.01
1010001000,0.26603575184016826,"(0, 2, 6)",0.2960357518401683,0.01
1010000100,0.26989134244654744,"(0, 2, 7)",0.29989134244654747,0.01
1010000010,0.1957588503329828,"(0, 2, 8)",0.2257588503329828,0.01
1010000001,0.25972660357518407,"(0, 2, 9)",0.2897266035751841,0.01
1001100000,0.26813880126182965,"(0, 3, 4)",0.2981388012618297,0.01
1001010000,0.2742726954083421,"(0, 3, 5)",0.3042726954083421,0.01
1001001000,0.26673676831405535,"(0, 3, 6)",0.2967367683140554,0.01
1001000100,0.26708727655099895,"(0, 3, 7)",0.297087276550999,0.01
1001000010,0.20189274447949523,"(0, 3, 8)",0.23189274447949523,0.01
1001000001,0.26638626007711186,"(0, 3, 9)",0.2963862600771119,0.01
1000110000,0.26638626007711186,"(0, 4, 5)",0.2963862600771119,0.01
1000101000,0.26638626007711186,"(0, 4, 6)",0.2963862600771119,0.01
1000100100,0.2672625306694707,"(0, 4, 7)",0.2972625306694707,0.01
1000100010,0.20259376095338244,"(0, 4, 8)",0.23259376095338244,0.01
1000100001,0.2672625306694707,"(0, 4, 9)",0.2972625306694707,0.01
1000011000,0.2644584647739222,"(0, 5, 6)",0.29445846477392223,0.01
1000010100,0.2644584647739222,"(0, 5, 7)",0.29445846477392223,0.01
1000010010,0.20189274447949523,"(0, 5, 8)",0.23189274447949523,0.01
1000010001,0.2676130389064143,"(0, 5, 9)",0.29761303890641433,0.01
1000001100,0.2634069400630915,"(0, 6, 7)",0.29340694006309154,0.01
1000001010,0.1971608832807571,"(0, 6, 8)",0.2271608832807571,0.01
1000001001,0.26077812828601477,"(0, 6, 9)",0.2907781282860148,0.01
1000000110,0.20224325271643884,"(0, 7, 8)",0.23224325271643884,0.01
1000000101,0.2644584647739222,"(0, 7, 9)",0.29445846477392223,0.01
1000000011,0.20522257273045919,"(0, 8, 9)",0.23522257273045918,0.01
0111000000,0.24377847879425163,"(1, 2, 3)",0.27377847879425166,0.01
0110100000,0.24360322467577988,"(1, 2, 4)",0.2736032246757799,0.01
0110010000,0.2429022082018928,"(1, 2, 5)",0.2729022082018928,0.01
0110001000,0.25481948825797407,"(1, 2, 6)",0.2848194882579741,0.01
0110000100,0.24518051174202593,"(1, 2, 7)",0.27518051174202596,0.01
0110000010,0.20364528566421314,"(1, 2, 8)",0.23364528566421314,0.01
0110000001,0.24377847879425163,"(1, 2, 9)",0.27377847879425166,0.01
0101100000,0.2563967753242201,"(1, 3, 4)",0.28639677532422014,0.01
0101010000,0.2655099894847529,"(1, 3, 5)",0.29550998948475293,0.01
0101001000,0.2693655800911321,"(1, 3, 6)",0.2993655800911321,0.01
0101000100,0.25727304591657907,"(1, 3, 7)",0.2872730459165791,0.01
0101000010,0.2295828951980372,"(1, 3, 8)",0.25958289519803723,0.01
0101000001,0.25622152120574837,"(1, 3, 9)",0.2862215212057484,0.01
0100110000,0.2658604977216965,"(1, 4, 5)",0.29586049772169654,0.01
0100101000,0.2693655800911321,"(1, 4, 6)",0.2993655800911321,0.01
0100100100,0.26112863652295826,"(1, 4, 7)",0.2911286365229583,0.01
0100100010,0.23676831405538035,"(1, 4, 8)",0.2667683140553804,0.01
0100100001,0.2588503329828251,"(1, 4, 9)",0.28885033298282514,0.01
0100011000,0.2718191377497371,"(1, 5, 6)",0.3018191377497371,0.01
0100010100,0.26848930949877325,"(1, 5, 7)",0.2984893094987733,0.01
0100010010,0.22940764107956535,"(1, 5, 8)",0.2594076410795654,0.01
0100010001,0.27409744128987035,"(1, 5, 9)",0.3040974412898704,0.01
0100001100,0.2732211706975114,"(1, 6, 7)",0.3032211706975114,0.01
0100001010,0.21310900806168942,"(1, 6, 8)",0.24310900806168942,0.01
0100001001,0.26989134244654744,"(1, 6, 9)",0.29989134244654747,0.01
0100000110,0.23852085524009814,"(1, 7, 8)",0.26852085524009817,0.01
0100000101,0.27164388363126535,"(1, 7, 9)",0.3016438836312654,0.01
0100000011,0.23326323168594465,"(1, 8, 9)",0.2632632316859447,0.01
0011100000,0.30126182965299686,"(2, 3, 4)",0.3312618296529969,0.01
0011010000,0.2833859095688749,"(2, 3, 5)",0.3133859095688749,0.01
0011001000,0.27970557308096744,"(2, 3, 6)",0.30970557308096747,0.01
0011000100,0.291447599018577,"(2, 3, 7)",0.321447599018577,0.01
0011000010,0.21065545040308442,"(2, 3, 8)",0.24065545040308442,0.01
0011000001,0.30511742025937605,"(2, 3, 9)",0.3351174202593761,0.01
0010110000,0.28724150017525407,"(2, 4, 5)",0.3172415001752541,0.01
0010101000,0.2788293024886085,"(2, 4, 6)",0.3088293024886085,0.01
0010100100,0.2891692954784437,"(2, 4, 7)",0.31916929547844375,0.01
0010100010,0.21345951629863302,"(2, 4, 8)",0.24345951629863302,0.01
0010100001,0.31335436382755,"(2, 4, 9)",0.34335436382755,0.01
0010011000,0.2784787942516649,"(2, 5, 6)",0.3084787942516649,0.01
0010010100,0.28215913073957233,"(2, 5, 7)",0.31215913073957235,0.01
0010010010,0.20347003154574128,"(2, 5, 8)",0.23347003154574128,0.01
0010010001,0.3038906414300736,"(2, 5, 9)",0.33389064143007363,0.01
0010001100,0.2742726954083421,"(2, 6, 7)",0.3042726954083421,0.01
0010001010,0.2017174903610235,"(2, 6, 8)",0.2317174903610235,0.01
0010001001,0.2798808271994392,"(2, 6, 9)",0.3098808271994392,0.01
0010000110,0.20644935155976163,"(2, 7, 8)",0.23644935155976163,0.01
0010000101,0.2912723449001051,"(2, 7, 9)",0.32127234490010514,0.01
0010000011,0.20487206449351558,"(2, 8, 9)",0.23487206449351558,0.01
0001110000,0.3021381002453558,"(3, 4, 5)",0.33213810024535584,0.01
0001101000,0.27935506484402384,"(3, 4, 6)",0.30935506484402386,0.01
0001100100,0.2886435331230284,"(3, 4, 7)",0.3186435331230284,0.01
0001100010,0.24114966701717488,"(3, 4, 8)",0.2711496670171749,0.01
0001100001,0.3298282509638977,"(3, 4, 9)",0.3598282509638977,0.01
0001011000,0.2788293024886085,"(3, 5, 6)",0.3088293024886085,0.01
0001010100,0.2837364178058185,"(3, 5, 7)",0.3137364178058185,0.01
0001010010,0.23378899404136,"(3, 5, 8)",0.26378899404136,0.01
0001010001,0.29985979670522256,"(3, 5, 9)",0.3298597967052226,0.01
0001001100,0.2753242201191728,"(3, 6, 7)",0.3053242201191728,0.01
0001001010,0.2222222222222222,"(3, 6, 8)",0.25222222222222224,0.01
0001001001,0.27970557308096744,"(3, 6, 9)",0.30970557308096747,0.01
0001000110,0.2334384858044164,"(3, 7, 8)",0.2634384858044164,0.01
0001000101,0.2919733613739923,"(3, 7, 9)",0.32197336137399235,0.01
